DID,Country,City,Province,Account,Perminut,Inital Increment,Increment,Setup,Month,Call Type,Destination,,
524499950163,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950164,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950165,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950166,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950167,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950168,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950169,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950170,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950171,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950172,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950173,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950174,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950175,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950176,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950177,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950178,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950179,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950180,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950181,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950182,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
