DID,Country,Account,Per Minute Cost(USD),Initial Increment,Increment,Setup Fee(USD),Monthly Fee(USD),Call Type,Destination,Status,Modified Date,Is Purchased?
524498590273,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590274,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590275,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590276,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590277,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590278,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590279,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590280,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590281,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590282,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590283,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590284,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
